mos_case_id,case_id,case_type,speechgender,item_name,method_id,method_desc,speech_file,source_wav,face_file,style_file
case_01_F,easy_0255_pIYdfEbwsqI_00_11_39_94,easy,F,pIYdfEbwsqI_00_11_39_94,gt,GT natural speech,speech/gt/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.wav,/train/zjli/data/talkvid_test/v2/easy/pIYdfEbwsqI_00_11_39_94_1.wav,face/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.jpg,style/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.txt
case_01_F,easy_0255_pIYdfEbwsqI_00_11_39_94,easy,F,pIYdfEbwsqI_00_11_39_94,ours_grpo_face_style,Our method: GRPO face-style TTS,speech/ours_grpo_face_style/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.wav,/train/zjli/work/CosyVoice_multimodal/infer_code/multimodal_infer/output_dir_cv2_rl/talkvid_v2_300_selected_versions_0713/cal_metric_view/grpo_face_style/easy/0254_easy_pIYdfEbwsqI_00_11_39_94.wav,face/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.jpg,style/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.txt
case_01_F,easy_0255_pIYdfEbwsqI_00_11_39_94,easy,F,pIYdfEbwsqI_00_11_39_94,ablation_face_style,Ablation: face_style,speech/ablation_face_style/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.wav,/train/zjli/work/CosyVoice_multimodal/infer_code/multimodal_infer/output_dir_cv2_rl/talkvid_v2_300_selected_versions_0713/cal_metric_view/face_style/easy/0254_easy_pIYdfEbwsqI_00_11_39_94.wav,face/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.jpg,style/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.txt
case_01_F,easy_0255_pIYdfEbwsqI_00_11_39_94,easy,F,pIYdfEbwsqI_00_11_39_94,ablation_face_style_0_5,Ablation: face_style_0_5,speech/ablation_face_style_0_5/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.wav,/train/zjli/work/CosyVoice_multimodal/infer_code/multimodal_infer/output_dir_cv2_rl/talkvid_v2_300_selected_versions_0713/cal_metric_view/face_style_0_5/easy/0254_easy_pIYdfEbwsqI_00_11_39_94.wav,face/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.jpg,style/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.txt
case_01_F,easy_0255_pIYdfEbwsqI_00_11_39_94,easy,F,pIYdfEbwsqI_00_11_39_94,ablation_onlystyle,Ablation: onlystyle,speech/ablation_onlystyle/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.wav,/train/zjli/work/CosyVoice_multimodal/infer_code/multimodal_infer/output_dir_cv2_rl/talkvid_v2_300_selected_versions_0713/cal_metric_view/onlystyle/easy/0254_easy_pIYdfEbwsqI_00_11_39_94.wav,face/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.jpg,style/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.txt
case_01_F,easy_0255_pIYdfEbwsqI_00_11_39_94,easy,F,pIYdfEbwsqI_00_11_39_94,ablation_onlyface,Ablation: onlyface,speech/ablation_onlyface/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.wav,/train/zjli/work/CosyVoice_multimodal/infer_code/multimodal_infer/output_dir_cv2_rl/talkvid_v2_300_selected_versions_0713/cal_metric_view/onlyface/easy/0254_easy_pIYdfEbwsqI_00_11_39_94.wav,face/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.jpg,style/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.txt
case_01_F,easy_0255_pIYdfEbwsqI_00_11_39_94,easy,F,pIYdfEbwsqI_00_11_39_94,promptttspp,StyleTTS baseline: PromptTTS/PromptTTS++,speech/promptttspp/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.wav,/train/zjli/data/ab_instrcut_face/generated/promptttspp/easy_0255_pIYdfEbwsqI_00_11_39_94.wav,face/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.jpg,style/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.txt
case_01_F,easy_0255_pIYdfEbwsqI_00_11_39_94,easy,F,pIYdfEbwsqI_00_11_39_94,parler_tts,StyleTTS baseline: ParlerTTS,speech/parler_tts/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.wav,/train/zjli/data/ab_instrcut_face/generated/parler_tts/easy_0255_pIYdfEbwsqI_00_11_39_94.wav,face/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.jpg,style/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.txt
case_01_F,easy_0255_pIYdfEbwsqI_00_11_39_94,easy,F,pIYdfEbwsqI_00_11_39_94,voxinstruct,StyleTTS baseline: VoxInstruct,speech/voxinstruct/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.wav,"/train/zjli/data/ab_instrcut_face/generated/voxinstruct/easy_0255_pIYdfEbwsqI_00_11_39_94_With bright, unmistakable joy, the female speaker sounds young and lively, speaking at a normal pace with a high, energetic voice.wav",face/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.jpg,style/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.txt
case_01_F,easy_0255_pIYdfEbwsqI_00_11_39_94,easy,F,pIYdfEbwsqI_00_11_39_94,facetts,FaceTTS baseline: FaceTTS,speech/facetts/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.wav,/raw/zjli/data/facetts_output/icme25/outputs/ori/facetts/easy/0254_easy_pIYdfEbwsqI_00_11_39_94.wav,face/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.jpg,style/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.txt
case_01_F,easy_0255_pIYdfEbwsqI_00_11_39_94,easy,F,pIYdfEbwsqI_00_11_39_94,synthsees,FaceTTS baseline: SYNTHE-SEES,speech/synthsees/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.wav,/raw/zjli/data/facetts_output/icme25/outputs/ori/synthsees/easy/0254_easy_pIYdfEbwsqI_00_11_39_94.wav,face/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.jpg,style/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.txt
case_01_F,easy_0255_pIYdfEbwsqI_00_11_39_94,easy,F,pIYdfEbwsqI_00_11_39_94,fvtts,FaceTTS baseline: FVTTS,speech/fvtts/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.wav,/raw/zjli/data/facetts_output/icme25/outputs/ori/fvtts/easy/0254_easy_pIYdfEbwsqI_00_11_39_94.wav,face/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.jpg,style/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.txt
case_01_F,easy_0255_pIYdfEbwsqI_00_11_39_94,easy,F,pIYdfEbwsqI_00_11_39_94,multimodaltts,Face-style TTS baseline: MultimodalTTS (same source as face_style),speech/multimodaltts/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.wav,/train/zjli/work/CosyVoice_multimodal/infer_code/multimodal_infer/output_dir_cv2_rl/talkvid_v2_300_selected_versions_0713/cal_metric_view/face_style/easy/0254_easy_pIYdfEbwsqI_00_11_39_94.wav,face/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.jpg,style/case_01_F_easy_pIYdfEbwsqI_00_11_39_94.txt
case_02_F,easy_0280_GdQkyQrQawM_00_06_28_07,easy,F,GdQkyQrQawM_00_06_28_07,gt,GT natural speech,speech/gt/case_02_F_easy_GdQkyQrQawM_00_06_28_07.wav,/train/zjli/data/talkvid_test/v2/easy/GdQkyQrQawM_00_06_28_07_1.wav,face/case_02_F_easy_GdQkyQrQawM_00_06_28_07.jpg,style/case_02_F_easy_GdQkyQrQawM_00_06_28_07.txt
case_02_F,easy_0280_GdQkyQrQawM_00_06_28_07,easy,F,GdQkyQrQawM_00_06_28_07,ours_grpo_face_style,Our method: GRPO face-style TTS,speech/ours_grpo_face_style/case_02_F_easy_GdQkyQrQawM_00_06_28_07.wav,/train/zjli/work/CosyVoice_multimodal/infer_code/multimodal_infer/output_dir_cv2_rl/talkvid_v2_300_selected_versions_0713/cal_metric_view/grpo_face_style/easy/0279_easy_GdQkyQrQawM_00_06_28_07.wav,face/case_02_F_easy_GdQkyQrQawM_00_06_28_07.jpg,style/case_02_F_easy_GdQkyQrQawM_00_06_28_07.txt
case_02_F,easy_0280_GdQkyQrQawM_00_06_28_07,easy,F,GdQkyQrQawM_00_06_28_07,ablation_face_style,Ablation: face_style,speech/ablation_face_style/case_02_F_easy_GdQkyQrQawM_00_06_28_07.wav,/train/zjli/work/CosyVoice_multimodal/infer_code/multimodal_infer/output_dir_cv2_rl/talkvid_v2_300_selected_versions_0713/cal_metric_view/face_style/easy/0279_easy_GdQkyQrQawM_00_06_28_07.wav,face/case_02_F_easy_GdQkyQrQawM_00_06_28_07.jpg,style/case_02_F_easy_GdQkyQrQawM_00_06_28_07.txt
case_02_F,easy_0280_GdQkyQrQawM_00_06_28_07,easy,F,GdQkyQrQawM_00_06_28_07,ablation_face_style_0_5,Ablation: face_style_0_5,speech/ablation_face_style_0_5/case_02_F_easy_GdQkyQrQawM_00_06_28_07.wav,/train/zjli/work/CosyVoice_multimodal/infer_code/multimodal_infer/output_dir_cv2_rl/talkvid_v2_300_selected_versions_0713/cal_metric_view/face_style_0_5/easy/0279_easy_GdQkyQrQawM_00_06_28_07.wav,face/case_02_F_easy_GdQkyQrQawM_00_06_28_07.jpg,style/case_02_F_easy_GdQkyQrQawM_00_06_28_07.txt
case_02_F,easy_0280_GdQkyQrQawM_00_06_28_07,easy,F,GdQkyQrQawM_00_06_28_07,ablation_onlystyle,Ablation: onlystyle,speech/ablation_onlystyle/case_02_F_easy_GdQkyQrQawM_00_06_28_07.wav,/train/zjli/work/CosyVoice_multimodal/infer_code/multimodal_infer/output_dir_cv2_rl/talkvid_v2_300_selected_versions_0713/cal_metric_view/onlystyle/easy/0279_easy_GdQkyQrQawM_00_06_28_07.wav,face/case_02_F_easy_GdQkyQrQawM_00_06_28_07.jpg,style/case_02_F_easy_GdQkyQrQawM_00_06_28_07.txt
case_02_F,easy_0280_GdQkyQrQawM_00_06_28_07,easy,F,GdQkyQrQawM_00_06_28_07,ablation_onlyface,Ablation: onlyface,speech/ablation_onlyface/case_02_F_easy_GdQkyQrQawM_00_06_28_07.wav,/train/zjli/work/CosyVoice_multimodal/infer_code/multimodal_infer/output_dir_cv2_rl/talkvid_v2_300_selected_versions_0713/cal_metric_view/onlyface/easy/0279_easy_GdQkyQrQawM_00_06_28_07.wav,face/case_02_F_easy_GdQkyQrQawM_00_06_28_07.jpg,style/case_02_F_easy_GdQkyQrQawM_00_06_28_07.txt
case_02_F,easy_0280_GdQkyQrQawM_00_06_28_07,easy,F,GdQkyQrQawM_00_06_28_07,promptttspp,StyleTTS baseline: PromptTTS/PromptTTS++,speech/promptttspp/case_02_F_easy_GdQkyQrQawM_00_06_28_07.wav,/train/zjli/data/ab_instrcut_face/generated/promptttspp/easy_0280_GdQkyQrQawM_00_06_28_07.wav,face/case_02_F_easy_GdQkyQrQawM_00_06_28_07.jpg,style/case_02_F_easy_GdQkyQrQawM_00_06_28_07.txt
case_02_F,easy_0280_GdQkyQrQawM_00_06_28_07,easy,F,GdQkyQrQawM_00_06_28_07,parler_tts,StyleTTS baseline: ParlerTTS,speech/parler_tts/case_02_F_easy_GdQkyQrQawM_00_06_28_07.wav,/train/zjli/data/ab_instrcut_face/generated/parler_tts/easy_0280_GdQkyQrQawM_00_06_28_07.wav,face/case_02_F_easy_GdQkyQrQawM_00_06_28_07.jpg,style/case_02_F_easy_GdQkyQrQawM_00_06_28_07.txt
case_02_F,easy_0280_GdQkyQrQawM_00_06_28_07,easy,F,GdQkyQrQawM_00_06_28_07,voxinstruct,StyleTTS baseline: VoxInstruct,speech/voxinstruct/case_02_F_easy_GdQkyQrQawM_00_06_28_07.wav,"/train/zjli/data/ab_instrcut_face/generated/voxinstruct/easy_0280_GdQkyQrQawM_00_06_28_07_A female speaker delivers the line with a youthful, high-pitched voice and lively presence, while keeping the tone clear and neutral.wav",face/case_02_F_easy_GdQkyQrQawM_00_06_28_07.jpg,style/case_02_F_easy_GdQkyQrQawM_00_06_28_07.txt
case_02_F,easy_0280_GdQkyQrQawM_00_06_28_07,easy,F,GdQkyQrQawM_00_06_28_07,facetts,FaceTTS baseline: FaceTTS,speech/facetts/case_02_F_easy_GdQkyQrQawM_00_06_28_07.wav,/raw/zjli/data/facetts_output/icme25/outputs/ori/facetts/easy/0279_easy_GdQkyQrQawM_00_06_28_07.wav,face/case_02_F_easy_GdQkyQrQawM_00_06_28_07.jpg,style/case_02_F_easy_GdQkyQrQawM_00_06_28_07.txt
case_02_F,easy_0280_GdQkyQrQawM_00_06_28_07,easy,F,GdQkyQrQawM_00_06_28_07,synthsees,FaceTTS baseline: SYNTHE-SEES,speech/synthsees/case_02_F_easy_GdQkyQrQawM_00_06_28_07.wav,/raw/zjli/data/facetts_output/icme25/outputs/ori/synthsees/easy/0279_easy_GdQkyQrQawM_00_06_28_07.wav,face/case_02_F_easy_GdQkyQrQawM_00_06_28_07.jpg,style/case_02_F_easy_GdQkyQrQawM_00_06_28_07.txt
case_02_F,easy_0280_GdQkyQrQawM_00_06_28_07,easy,F,GdQkyQrQawM_00_06_28_07,fvtts,FaceTTS baseline: FVTTS,speech/fvtts/case_02_F_easy_GdQkyQrQawM_00_06_28_07.wav,/raw/zjli/data/facetts_output/icme25/outputs/ori/fvtts/easy/0279_easy_GdQkyQrQawM_00_06_28_07.wav,face/case_02_F_easy_GdQkyQrQawM_00_06_28_07.jpg,style/case_02_F_easy_GdQkyQrQawM_00_06_28_07.txt
case_02_F,easy_0280_GdQkyQrQawM_00_06_28_07,easy,F,GdQkyQrQawM_00_06_28_07,multimodaltts,Face-style TTS baseline: MultimodalTTS (same source as face_style),speech/multimodaltts/case_02_F_easy_GdQkyQrQawM_00_06_28_07.wav,/train/zjli/work/CosyVoice_multimodal/infer_code/multimodal_infer/output_dir_cv2_rl/talkvid_v2_300_selected_versions_0713/cal_metric_view/face_style/easy/0279_easy_GdQkyQrQawM_00_06_28_07.wav,face/case_02_F_easy_GdQkyQrQawM_00_06_28_07.jpg,style/case_02_F_easy_GdQkyQrQawM_00_06_28_07.txt
case_03_F,easy_0256_qUwE8TRhOk8_00_10_30_99,easy,F,qUwE8TRhOk8_00_10_30_99,gt,GT natural speech,speech/gt/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.wav,/train/zjli/data/talkvid_test/v2/easy/qUwE8TRhOk8_00_10_30_99_1.wav,face/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.jpg,style/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.txt
case_03_F,easy_0256_qUwE8TRhOk8_00_10_30_99,easy,F,qUwE8TRhOk8_00_10_30_99,ours_grpo_face_style,Our method: GRPO face-style TTS,speech/ours_grpo_face_style/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.wav,/train/zjli/work/CosyVoice_multimodal/infer_code/multimodal_infer/output_dir_cv2_rl/talkvid_v2_300_selected_versions_0713/cal_metric_view/grpo_face_style/easy/0255_easy_qUwE8TRhOk8_00_10_30_99.wav,face/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.jpg,style/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.txt
case_03_F,easy_0256_qUwE8TRhOk8_00_10_30_99,easy,F,qUwE8TRhOk8_00_10_30_99,ablation_face_style,Ablation: face_style,speech/ablation_face_style/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.wav,/train/zjli/work/CosyVoice_multimodal/infer_code/multimodal_infer/output_dir_cv2_rl/talkvid_v2_300_selected_versions_0713/cal_metric_view/face_style/easy/0255_easy_qUwE8TRhOk8_00_10_30_99.wav,face/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.jpg,style/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.txt
case_03_F,easy_0256_qUwE8TRhOk8_00_10_30_99,easy,F,qUwE8TRhOk8_00_10_30_99,ablation_face_style_0_5,Ablation: face_style_0_5,speech/ablation_face_style_0_5/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.wav,/train/zjli/work/CosyVoice_multimodal/infer_code/multimodal_infer/output_dir_cv2_rl/talkvid_v2_300_selected_versions_0713/cal_metric_view/face_style_0_5/easy/0255_easy_qUwE8TRhOk8_00_10_30_99.wav,face/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.jpg,style/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.txt
case_03_F,easy_0256_qUwE8TRhOk8_00_10_30_99,easy,F,qUwE8TRhOk8_00_10_30_99,ablation_onlystyle,Ablation: onlystyle,speech/ablation_onlystyle/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.wav,/train/zjli/work/CosyVoice_multimodal/infer_code/multimodal_infer/output_dir_cv2_rl/talkvid_v2_300_selected_versions_0713/cal_metric_view/onlystyle/easy/0255_easy_qUwE8TRhOk8_00_10_30_99.wav,face/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.jpg,style/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.txt
case_03_F,easy_0256_qUwE8TRhOk8_00_10_30_99,easy,F,qUwE8TRhOk8_00_10_30_99,ablation_onlyface,Ablation: onlyface,speech/ablation_onlyface/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.wav,/train/zjli/work/CosyVoice_multimodal/infer_code/multimodal_infer/output_dir_cv2_rl/talkvid_v2_300_selected_versions_0713/cal_metric_view/onlyface/easy/0255_easy_qUwE8TRhOk8_00_10_30_99.wav,face/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.jpg,style/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.txt
case_03_F,easy_0256_qUwE8TRhOk8_00_10_30_99,easy,F,qUwE8TRhOk8_00_10_30_99,promptttspp,StyleTTS baseline: PromptTTS/PromptTTS++,speech/promptttspp/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.wav,/train/zjli/data/ab_instrcut_face/generated/promptttspp/easy_0256_qUwE8TRhOk8_00_10_30_99.wav,face/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.jpg,style/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.txt
case_03_F,easy_0256_qUwE8TRhOk8_00_10_30_99,easy,F,qUwE8TRhOk8_00_10_30_99,parler_tts,StyleTTS baseline: ParlerTTS,speech/parler_tts/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.wav,/train/zjli/data/ab_instrcut_face/generated/parler_tts/easy_0256_qUwE8TRhOk8_00_10_30_99.wav,face/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.jpg,style/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.txt
case_03_F,easy_0256_qUwE8TRhOk8_00_10_30_99,easy,F,qUwE8TRhOk8_00_10_30_99,voxinstruct,StyleTTS baseline: VoxInstruct,speech/voxinstruct/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.wav,"/train/zjli/data/ab_instrcut_face/generated/voxinstruct/easy_0256_qUwE8TRhOk8_00_10_30_99_A female speaker delivers the line with bright, youthful joy, sounding lively, warm, and clearly delighted throughout.wav",face/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.jpg,style/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.txt
case_03_F,easy_0256_qUwE8TRhOk8_00_10_30_99,easy,F,qUwE8TRhOk8_00_10_30_99,facetts,FaceTTS baseline: FaceTTS,speech/facetts/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.wav,/raw/zjli/data/facetts_output/icme25/outputs/ori/facetts/easy/0255_easy_qUwE8TRhOk8_00_10_30_99.wav,face/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.jpg,style/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.txt
case_03_F,easy_0256_qUwE8TRhOk8_00_10_30_99,easy,F,qUwE8TRhOk8_00_10_30_99,synthsees,FaceTTS baseline: SYNTHE-SEES,speech/synthsees/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.wav,/raw/zjli/data/facetts_output/icme25/outputs/ori/synthsees/easy/0255_easy_qUwE8TRhOk8_00_10_30_99.wav,face/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.jpg,style/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.txt
case_03_F,easy_0256_qUwE8TRhOk8_00_10_30_99,easy,F,qUwE8TRhOk8_00_10_30_99,fvtts,FaceTTS baseline: FVTTS,speech/fvtts/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.wav,/raw/zjli/data/facetts_output/icme25/outputs/ori/fvtts/easy/0255_easy_qUwE8TRhOk8_00_10_30_99.wav,face/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.jpg,style/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.txt
case_03_F,easy_0256_qUwE8TRhOk8_00_10_30_99,easy,F,qUwE8TRhOk8_00_10_30_99,multimodaltts,Face-style TTS baseline: MultimodalTTS (same source as face_style),speech/multimodaltts/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.wav,/train/zjli/work/CosyVoice_multimodal/infer_code/multimodal_infer/output_dir_cv2_rl/talkvid_v2_300_selected_versions_0713/cal_metric_view/face_style/easy/0255_easy_qUwE8TRhOk8_00_10_30_99.wav,face/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.jpg,style/case_03_F_easy_qUwE8TRhOk8_00_10_30_99.txt
